"year","month","credate","Ward","Police.District","Community.Area","Latitude","Longitude"
2015,9,2015-09-03,29,25,25,41.9108699593398,-87.7713672462783
2015,9,2015-09-03,44,19,6,41.9386529994787,-87.6442051390664
2015,9,2015-09-03,15,7,67,41.7803119336896,-87.6665167621005
2015,9,2015-09-03,19,22,72,41.7076167826721,-87.6766759868953
2015,9,2015-09-03,15,9,61,41.8047450354404,-87.6805636612403
2015,9,2015-09-03,48,20,77,41.9855803147152,-87.6668147145953
2015,9,2015-09-03,40,20,4,41.9804662836584,-87.703496968336
2015,9,2015-09-02,17,8,66,41.7720700976014,-87.6942880785514
2015,9,2015-09-02,46,19,3,41.9555997624133,-87.6563116204757
2015,9,2015-09-02,39,17,16,41.9600353327723,-87.7354884996162
2015,9,2015-09-01,42,1,32,41.8880826288489,-87.6206582610662
2015,9,2015-09-01,37,25,25,41.9095751024829,-87.7616287319465
2015,9,2015-09-01,33,17,16,41.9520453805246,-87.7029260364827
2015,9,2015-09-01,3,2,38,41.8153784407665,-87.6244799423808
2015,9,2015-09-09,42,1,32,41.887526695735,-87.6196374149782
2015,9,2015-09-08,17,8,66,41.7605101314725,-87.7106610718772
2015,9,2015-09-08,46,19,3,41.9663175869249,-87.6657944877042
2015,9,2015-09-08,26,12,24,41.8972818978542,-87.6870274804251
2015,9,2015-09-08,33,17,16,41.9477630909975,-87.7031022540419
2015,9,2015-09-08,38,16,17,41.9461035006313,-87.8083913636109
2015,9,2015-09-08,34,22,73,41.710354267699,-87.6479334048247
2015,9,2015-09-08,23,8,62,41.7912226428021,-87.718055662055
2015,9,2015-09-08,42,1,32,41.8846028548885,-87.6271869401959
2015,9,2015-09-08,23,8,62,41.7912226428021,-87.718055662055
2015,9,2015-09-08,32,14,22,41.9188708777298,-87.6873048169714
2015,9,2015-09-04,49,24,1,42.0119533061577,-87.6681494050192
2015,9,2015-09-04,48,24,77,41.9934084568083,-87.6692478759253
2015,9,2015-09-04,47,19,5,41.9471108216129,-87.6796277680369
2015,9,2015-09-04,32,19,6,41.9369792630809,-87.6600251318483
2015,9,2015-09-04,49,24,1,42.0103825523448,-87.6702277939465
2015,9,2015-09-04,40,20,4,41.9738973796478,-87.6880251820321
2015,9,2015-09-04,40,20,4,41.9736313197821,-87.687721143345
2015,9,2015-09-05,48,20,77,41.9800201323185,-87.6639883781351
2015,9,2015-09-04,43,19,7,41.9279616778234,-87.6553988952175
2015,9,2015-09-04,36,16,17,41.9401410665817,-87.7929557985514
2015,9,2015-09-04,45,16,11,41.9725908796906,-87.7574065668403
2015,9,2015-09-03,44,19,6,41.9392579073323,-87.6444874697314
2015,9,2015-09-03,9,5,53,41.6655079470228,-87.6368217156411
2015,9,2015-09-03,45,17,15,41.9581076879062,-87.7460756683217
2015,9,2015-09-02,5,3,43,41.7677976230384,-87.5858199182323
2015,9,2015-09-02,5,3,69,41.7651889220939,-87.5953862677214
